------------------------------------------------------------------------------------
Date: 7/30/2025 -- 17:19:46 (uptime: 0d, 01h 43m 04s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 442705
capture.afpacket.polls                        | Total                     | 243525
capture.afpacket.poll_timeout                 | Total                     | 104408
capture.afpacket.poll_data                    | Total                     | 139117
decoder.pkts                                  | Total                     | 442744
decoder.bytes                                 | Total                     | 443285626
decoder.ipv4                                  | Total                     | 426389
decoder.ipv6                                  | Total                     | 12943
decoder.ethernet                              | Total                     | 442744
decoder.arp                                   | Total                     | 3003
decoder.unknown_ethertype                     | Total                     | 417
decoder.tcp                                   | Total                     | 402441
tcp.syn                                       | Total                     | 234
tcp.synack                                    | Total                     | 129
tcp.rst                                       | Total                     | 153
decoder.udp                                   | Total                     | 25889
decoder.icmpv4                                | Total                     | 42
decoder.icmpv6                                | Total                     | 10757
decoder.avg_pkt_size                          | Total                     | 1001
decoder.max_pkt_size                          | Total                     | 5148
tcp.active_sessions                           | Total                     | 7
flow.total                                    | Total                     | 2501
flow.active                                   | Total                     | 73
flow.tcp                                      | Total                     | 162
flow.udp                                      | Total                     | 2138
flow.icmpv4                                   | Total                     | 26
flow.icmpv6                                   | Total                     | 175
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.spare_sync_incomplete                | Total                     | 4
defrag.ipv6.fragments                         | Total                     | 16
defrag.ipv6.reassembled                       | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 187
decoder.event.ipv6.zero_len_padn              | Total                     | 8470
flow.wrk.flows_evicted_needs_work             | Total                     | 153
flow.wrk.flows_evicted_pkt_inject             | Total                     | 169
flow.wrk.flows_evicted                        | Total                     | 57
flow.wrk.flows_injected                       | Total                     | 152
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 161
tcp.ssn_from_cache                            | Total                     | 125
tcp.ssn_from_pool                             | Total                     | 36
tcp.pseudo                                    | Total                     | 4
tcp.segment_from_cache                        | Total                     | 3228
tcp.segment_from_pool                         | Total                     | 72
tcp.overlap                                   | Total                     | 5
detect.alerts_suppressed                      | Total                     | 1935
app_layer.flow.tls                            | Total                     | 125
app_layer.flow.ssh                            | Total                     | 2
app_layer.flow.ntp                            | Total                     | 3
app_layer.tx.ntp                              | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 18
app_layer.tx.dhcp                             | Total                     | 33
app_layer.flow.dns_udp                        | Total                     | 207
app_layer.tx.dns_udp                          | Total                     | 413
app_layer.flow.failed_udp                     | Total                     | 1910
flow.end.state.new                            | Total                     | 2125
flow.end.state.established                    | Total                     | 181
flow.end.state.closed                         | Total                     | 122
flow.end.tcp_state.syn_sent                   | Total                     | 32
flow.end.tcp_state.last_ack                   | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 121
flow.mgr.full_hash_pass                       | Total                     | 620
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9848
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 7239
flow.mgr.flows_notimeout                      | Total                     | 4845
flow.mgr.flows_timeout                        | Total                     | 2394
flow.mgr.flows_evicted                        | Total                     | 2394
flow.mgr.flows_evicted_needs_work             | Total                     | 152
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 2242
flow.recycler.queue_max                       | Total                     | 8
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 348160
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 7/30/2025 -- 17:19:54 (uptime: 0d, 01h 43m 12s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 442973
capture.afpacket.polls                        | Total                     | 243869
capture.afpacket.poll_timeout                 | Total                     | 104554
capture.afpacket.poll_data                    | Total                     | 139315
decoder.pkts                                  | Total                     | 442981
decoder.bytes                                 | Total                     | 443323999
decoder.ipv4                                  | Total                     | 426606
decoder.ipv6                                  | Total                     | 12958
decoder.ethernet                              | Total                     | 442981
decoder.arp                                   | Total                     | 3008
decoder.unknown_ethertype                     | Total                     | 417
decoder.tcp                                   | Total                     | 402592
tcp.syn                                       | Total                     | 235
tcp.synack                                    | Total                     | 130
tcp.rst                                       | Total                     | 155
decoder.udp                                   | Total                     | 25955
decoder.icmpv4                                | Total                     | 42
decoder.icmpv6                                | Total                     | 10772
decoder.avg_pkt_size                          | Total                     | 1000
decoder.max_pkt_size                          | Total                     | 5148
tcp.active_sessions                           | Total                     | 8
flow.total                                    | Total                     | 2505
flow.active                                   | Total                     | 74
flow.tcp                                      | Total                     | 163
flow.udp                                      | Total                     | 2141
flow.icmpv4                                   | Total                     | 26
flow.icmpv6                                   | Total                     | 175
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.spare_sync_incomplete                | Total                     | 4
defrag.ipv6.fragments                         | Total                     | 16
defrag.ipv6.reassembled                       | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 187
decoder.event.ipv6.zero_len_padn              | Total                     | 8482
flow.wrk.flows_evicted_needs_work             | Total                     | 153
flow.wrk.flows_evicted_pkt_inject             | Total                     | 169
flow.wrk.flows_evicted                        | Total                     | 57
flow.wrk.flows_injected                       | Total                     | 152
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 162
tcp.ssn_from_cache                            | Total                     | 126
tcp.ssn_from_pool                             | Total                     | 36
tcp.pseudo                                    | Total                     | 4
tcp.segment_from_cache                        | Total                     | 3241
tcp.segment_from_pool                         | Total                     | 72
tcp.overlap                                   | Total                     | 5
detect.alerts_suppressed                      | Total                     | 1938
app_layer.flow.tls                            | Total                     | 126
app_layer.flow.ssh                            | Total                     | 2
app_layer.flow.ntp                            | Total                     | 3
app_layer.tx.ntp                              | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 18
app_layer.tx.dhcp                             | Total                     | 33
app_layer.flow.dns_udp                        | Total                     | 209
app_layer.tx.dns_udp                          | Total                     | 417
app_layer.flow.failed_udp                     | Total                     | 1911
flow.end.state.new                            | Total                     | 2128
flow.end.state.established                    | Total                     | 181
flow.end.state.closed                         | Total                     | 122
flow.end.tcp_state.syn_sent                   | Total                     | 32
flow.end.tcp_state.last_ack                   | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 121
flow.mgr.full_hash_pass                       | Total                     | 621
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9850
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 7248
flow.mgr.flows_notimeout                      | Total                     | 4851
flow.mgr.flows_timeout                        | Total                     | 2397
flow.mgr.flows_evicted                        | Total                     | 2397
flow.mgr.flows_evicted_needs_work             | Total                     | 152
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 2245
flow.recycler.queue_max                       | Total                     | 8
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 356352
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 7/30/2025 -- 17:20:02 (uptime: 0d, 01h 43m 20s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 443185
capture.afpacket.polls                        | Total                     | 244189
capture.afpacket.poll_timeout                 | Total                     | 104646
capture.afpacket.poll_data                    | Total                     | 139543
decoder.pkts                                  | Total                     | 443235
decoder.bytes                                 | Total                     | 443363918
decoder.ipv4                                  | Total                     | 426847
decoder.ipv6                                  | Total                     | 12968
decoder.ethernet                              | Total                     | 443235
decoder.arp                                   | Total                     | 3011
decoder.unknown_ethertype                     | Total                     | 417
decoder.tcp                                   | Total                     | 402795
tcp.syn                                       | Total                     | 235
tcp.synack                                    | Total                     | 130
tcp.rst                                       | Total                     | 155
decoder.udp                                   | Total                     | 25993
decoder.icmpv4                                | Total                     | 42
decoder.icmpv6                                | Total                     | 10782
decoder.avg_pkt_size                          | Total                     | 1000
decoder.max_pkt_size                          | Total                     | 5148
tcp.active_sessions                           | Total                     | 7
flow.total                                    | Total                     | 2505
flow.active                                   | Total                     | 70
flow.tcp                                      | Total                     | 163
flow.udp                                      | Total                     | 2141
flow.icmpv4                                   | Total                     | 26
flow.icmpv6                                   | Total                     | 175
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.spare_sync_incomplete                | Total                     | 4
defrag.ipv6.fragments                         | Total                     | 16
defrag.ipv6.reassembled                       | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 187
decoder.event.ipv6.zero_len_padn              | Total                     | 8490
flow.wrk.flows_evicted_needs_work             | Total                     | 154
flow.wrk.flows_evicted_pkt_inject             | Total                     | 170
flow.wrk.flows_evicted                        | Total                     | 57
flow.wrk.flows_injected                       | Total                     | 153
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 162
tcp.ssn_from_cache                            | Total                     | 126
tcp.ssn_from_pool                             | Total                     | 36
tcp.pseudo                                    | Total                     | 4
tcp.segment_from_cache                        | Total                     | 3241
tcp.segment_from_pool                         | Total                     | 72
tcp.overlap                                   | Total                     | 5
detect.alerts_suppressed                      | Total                     | 1938
app_layer.flow.tls                            | Total                     | 126
app_layer.flow.ssh                            | Total                     | 2
app_layer.flow.ntp                            | Total                     | 3
app_layer.tx.ntp                              | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 18
app_layer.tx.dhcp                             | Total                     | 33
app_layer.flow.dns_udp                        | Total                     | 209
app_layer.tx.dns_udp                          | Total                     | 417
app_layer.flow.failed_udp                     | Total                     | 1911
flow.end.state.new                            | Total                     | 2131
flow.end.state.established                    | Total                     | 181
flow.end.state.closed                         | Total                     | 123
flow.end.tcp_state.syn_sent                   | Total                     | 32
flow.end.tcp_state.last_ack                   | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 122
flow.mgr.full_hash_pass                       | Total                     | 622
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9852
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 7257
flow.mgr.flows_notimeout                      | Total                     | 4856
flow.mgr.flows_timeout                        | Total                     | 2401
flow.mgr.flows_evicted                        | Total                     | 2401
flow.mgr.flows_evicted_needs_work             | Total                     | 153
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 2248
flow.recycler.queue_max                       | Total                     | 8
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 337920
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 7/30/2025 -- 17:20:10 (uptime: 0d, 01h 43m 28s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 443677
capture.afpacket.polls                        | Total                     | 244723
capture.afpacket.poll_timeout                 | Total                     | 104776
capture.afpacket.poll_data                    | Total                     | 139947
decoder.pkts                                  | Total                     | 443698
decoder.bytes                                 | Total                     | 443451101
decoder.ipv4                                  | Total                     | 427276
decoder.ipv6                                  | Total                     | 12998
decoder.ethernet                              | Total                     | 443698
decoder.arp                                   | Total                     | 3015
decoder.unknown_ethertype                     | Total                     | 417
decoder.tcp                                   | Total                     | 403149
tcp.syn                                       | Total                     | 237
tcp.synack                                    | Total                     | 132
tcp.rst                                       | Total                     | 155
decoder.udp                                   | Total                     | 26077
decoder.icmpv4                                | Total                     | 42
decoder.icmpv6                                | Total                     | 10801
decoder.avg_pkt_size                          | Total                     | 999
decoder.max_pkt_size                          | Total                     | 5148
tcp.active_sessions                           | Total                     | 7
flow.total                                    | Total                     | 2516
flow.active                                   | Total                     | 72
flow.tcp                                      | Total                     | 165
flow.udp                                      | Total                     | 2148
flow.icmpv4                                   | Total                     | 26
flow.icmpv6                                   | Total                     | 177
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.spare_sync_incomplete                | Total                     | 4
defrag.ipv6.fragments                         | Total                     | 16
defrag.ipv6.reassembled                       | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 189
decoder.event.ipv6.zero_len_padn              | Total                     | 8504
flow.wrk.flows_evicted_needs_work             | Total                     | 156
flow.wrk.flows_evicted_pkt_inject             | Total                     | 172
flow.wrk.flows_evicted                        | Total                     | 59
flow.wrk.flows_injected                       | Total                     | 155
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 164
tcp.ssn_from_cache                            | Total                     | 128
tcp.ssn_from_pool                             | Total                     | 36
tcp.pseudo                                    | Total                     | 4
tcp.segment_from_cache                        | Total                     | 3271
tcp.segment_from_pool                         | Total                     | 72
tcp.overlap                                   | Total                     | 5
detect.alerts_suppressed                      | Total                     | 1944
app_layer.flow.tls                            | Total                     | 128
app_layer.flow.ssh                            | Total                     | 2
app_layer.flow.ntp                            | Total                     | 3
app_layer.tx.ntp                              | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 18
app_layer.tx.dhcp                             | Total                     | 33
app_layer.flow.dns_udp                        | Total                     | 214
app_layer.tx.dns_udp                          | Total                     | 427
app_layer.flow.failed_udp                     | Total                     | 1913
flow.end.state.new                            | Total                     | 2138
flow.end.state.established                    | Total                     | 181
flow.end.state.closed                         | Total                     | 125
flow.end.tcp_state.syn_sent                   | Total                     | 32
flow.end.tcp_state.last_ack                   | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 124
flow.mgr.full_hash_pass                       | Total                     | 623
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9859
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 7276
flow.mgr.flows_notimeout                      | Total                     | 4866
flow.mgr.flows_timeout                        | Total                     | 2410
flow.mgr.flows_evicted                        | Total                     | 2410
flow.mgr.flows_evicted_needs_work             | Total                     | 155
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 2255
flow.recycler.queue_max                       | Total                     | 8
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 350208
flow.memuse                                   | Total                     | 7234304
